都道府県名,一人あたりの社会福祉費 (千円),一人あたりの衛生費 (千円) ,１病院あたりの人数 (千人) ,刑法犯認知件数 (千件)
北海道,23.92690552,12.8665651,9.593106952,28.160
青森県,24.20321724,15.48285172,13.91771277,4.608
岩手県,22.34413181,46.33766179,13.75907527,3.435
宮城県,18.44093382,17.82429617,16.67070714,14.929
秋田県,26.94646762,15.47477664,14.82781159,2.428
山形県,20.21985406,26.39019887,16.28827536,3.975
福島県,20.3255686,40.13501919,14.95342969,11.127
茨城県,20.88156296,10.64158636,16.57372727,24.809
栃木県,18.74482374,15.9810526,18.45098131,12.767
群馬県,20.41066284,10.63125565,15.17780769,13.105
埼玉県,17.10143956,8.269869789,21.18523032,63.383
千葉県,17.35885551,11.12219891,21.60647917,52.974
東京都,24.18051395,16.2428544,20.88913601,125.251
神奈川県,15.70977834,6.706511704,27.00063314,53.628
新潟県,17.88536557,15.52529267,17.86251163,12.757
富山県,16.78937813,14.69027823,10.05969811,5.330
石川県,20.51415588,11.33597427,12.27668085,5.393
福井県,21.87694029,16.10210235,11.56970588,3.231
山梨県,22.53777922,17.15612926,13.9155,4.617
長野県,20.52976552,10.45967894,16.26979845,9.535
岐阜県,20.40196259,11.17691297,20.11785149,14.897
静岡県,16.44665805,13.50671174,20.55725,20.869
愛知県,17.51981123,6.144070902,23.09607407,65.511
三重県,20.26338191,14.39874825,18.52923469,13.346
滋賀県,18.62062571,13.78939442,24.788,8.737
京都府,22.23891979,8.992581846,15.44587574,18.603
大阪府,21.40162876,7.533865552,16.96635125,107.023
兵庫県,19.80077853,9.549222013,15.81371429,50.821
奈良県,19.79358008,28.55513092,17.26982278,9.052
和歌山県,26.0713984,14.3117212,11.60938554,5.921
鳥取県,25.29101163,26.23487857,13.03275,2.604
島根県,24.06015825,25.6653801,13.6147451,2.773
岡山県,18.10005907,8.911194494,11.78849693,11.105
広島県,18.19193387,12.65799845,11.75202479,15.982
山口県,20.62419371,14.30437899,9.687786207,6.296
徳島県,21.69613475,34.96219167,6.933330275,3.694
香川県,22.29904647,19.38647987,10.96924719,5.600
愛媛県,22.40494145,18.70843205,9.824553191,9.207
高知県,26.66053255,22.99497031,5.645550388,4.635
福岡県,16.32722154,8.800577706,11.042329,42.126
佐賀県,27.94579339,17.00123674,7.85690566,4.331
長崎県,26.52596198,16.34076926,9.181246667,4.264
熊本県,22.3576149,19.04228769,8.385774648,8.288
大分県,22.78099659,11.85268078,7.428904459,3.958
宮崎県,24.86809429,17.53368766,7.886207143,4.990
鹿児島県,25.16627401,17.06637273,6.699906504,6.920
沖縄県,32.5457635,18.56768994,15.25070213,8.047
